,name,organization,date,location,death,type,na,desc
51,Altaf Ahmed Faktoo,Doordarshan TV,"January 1, 1997",India,Killed,Murder,,"
Faktoo, an anchor for the state-owned Doordarshan television station in Srinagar, Kashmir, was assassinated, reportedly by militant separatists, who fired two shots at the journalist with a gun equipped with a silencer. He had received repeated threats from militant separatists because of his work and had been kidnapped and detained by a militant group in 1994.
 Faktoo had aired pro-government news reports that criticized the separatist movement. Shortly before his death, he started working for a news program about Kashmir that is broadcast by satellite throughout India, but not in Kashmir. He was the seventh journalist assassinated in Kashmir since the militant movement began in 1989 and the third to be specifically targeted because of his work with the state-owned broadcast media.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
52,Amir Nowab,Associated Press Television News and Frontier Post,"February 7, 2005",Pakistan,Killed,Murder,,"
Gunmen in South Waziristan fatally shot Allah Noor, a
journalist for Peshawar-based Khyber TV, and Amir Nowab, a freelance cameraman
for Associated Press Television News and a reporter for the Frontier Post
newspaper. The journalists were riding with colleagues in a bus transporting
them from the town of Sararogha, where they had covered the surrender of a
suspected tribal militant, Baitullah Mehsud.
A car overtook the bus about 7:30 p.m. near the town of
Wana, and assailants opened fire with AK-47 assault rifles, according to The
Associated Press, which quoted Mahmood Shah, chief of security for Pakistan’s
tribal areas bordering Afghanistan. Two other journalists riding in the bus
were injured. Anwar Shakir, a stringer for Agence France-Presse, was wounded in
the back during the attack, according to news reports. Dilawar Khan, who was
working for Al-Jazeera, suffered minor injuries. Nowab was also known
professionally as Mir Nawab. 
Days later, a group calling itself Sipah-e-Islam, or
Soldiers of Islam, claimed responsibility for the killings in a letter faxed to
newspapers. It accused some journalists of “working for Christians” and of
“being used as tools in negative propaganda … against the Muslim mujahideen.”
Local journalists blamed officials for not doing more at the
time of the murders. They said no attempt was made to stop the gunmen’s vehicle
even though the attack took place in an area under government control. They
also said no real investigation into the murders took place.
The Pakistani military had begun an offensive against
suspected Al-Qaeda fighters in South Waziristan in early 2004. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
53,Ananta Bijoy Das,Freelance,"May 12, 2015",Bangladesh,Killed,Murder,,"
Four unidentified assailants wielding cleavers and machetes hacked Ananta Bijoy Das to death on a busy street as the blogger was heading to work in the city of Sylhet, according to news reports. Kamrul Hasan, commissioner of Sylhet police, told local journalists that the four assailants fled the scene.
Das had contributed to the blog Mukto Mona–the blog founded by Bangladeshi blogger Avijit Roy, who was killed in early 2015–and was also the editor of a quarterly scientific magazine named Jukti (Reason), the reports said. He had also written numerous books, one on evolution. Das, who worked for a bank as his day job, had mainly written on science. He had also been critical of religious fundamentalism and previous attacks on secular thinkers in his writing, CNN reported.
According to news reports which cited Imran Sarker, head of an organization of secular bloggers, Das was also an activist during the 2013 Shahbag movement, which called for the death penalty for leaders of the Jamaat-e-Islami party who were on trial for war crimes.
The day before he was killed, Das wrote a post on Facebook in which he criticized police for their handling of the investigation into the murders of Bangladeshi bloggers Roy and Washiqur Rahman Babu, according to The Associated Press.
Das’s murder came just weeks after the attack on Babu, who was hacked to death in the street on March 30, 2015. In February 2015, Roy and his wife, Rafida Ahmed Bonna, were attacked by assailants wielding sharp weapons while the couple was visiting Dhaka, according to news reports. Roy, a U.S. citizen of Bangladeshi origin, was killed and his wife was critically injured.
In early May 2015, an Al-Qaeda branch claimed responsibility for the attack on Roy and his wife as well as for the 2013 murder of blogger Ahmed Rajib Haider in a video posted online, according to reports. The video also urged followers to carry out other such attacks against “blasphemers.”
Debasish Debu, a friend of Das, told journalists that the blogger had received threats for his writing and that the frequency of threats increased after the attack on Roy.
Police said they were investigating the murder, but no immediate arrests were made, news reports said. On May 13, 2015, The New York Times reported that Islamist extremists claimed responsibility for Das’s murder.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
54,Anil Mazumdar,Aji,"March 24, 2009",India,Killed,Murder,,"
Unidentified gunmen shot dead Mazumdar, the editor of an Assamese language daily Aji, as he was returning from his office outside his home in Rajgarh. His driver, Ramen Nath, and neighbors rushed him to a hospital, where Mazumdar was declared dead, according to the Telegraph.
Mazumdar had been supportive of peace talks between the separatist guerrilla group, United Liberation Front of Asom, which operates in the state, and the government, the Telegraph reported. The paper had taken a stand of supporting negotiations between the government and the militant group, Agence France Presse reported.

The same evening that Mazumdar was killed, suspected militants shot dead a leader with the liberation front who was supportive of peace talks, according to reports.

“[Mazumdar] was known for his bold and fearless journalism,” Atanu Bhuyan, a fellow journalist, was quoted as saying in news reports. His killing came days after security officials warned journalists in the area that rebel groups could target some of them before an upcoming general election, Reuters reported.

Three years after his death, the Gauhati High Court ordered that the Central Bureau of Investigation take over the case, after his widow, Mallika Kalita Majumdar, petitioned the court that she was dissatisfied with the investigation by Assam police, reports said.

In January 2016, the CBI filed a closure report naming Bijoy Phukan, a deceased United Liberation Front of Asom militant, as his killer. According to the report, a fortnight after Mazumdar’s killing, Phukan’s body was found with bullet injuries on the bank of the Brahmaputra river in Nalbari district. CPJ was unable to determine if Mazumdar’s family accepted the judgment.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
55,Anura Priyantha,Independent Television Network,"December 18, 1999",Sri Lanka,Killed,Dangerous Assignment,,"
Indika Pathinivasan, a camera assistant for Sri Lanka’s privately owned
Maharaja Television Network, and Anura Priyantha, a camera assistant for the
state-owned Independent Television Network, were fatally wounded by
shrapnel from a suicide bomb aimed at President Chandrika Bandaranaike
Kumaratunga at an election rally in Colombo. Five other journalists
were injured by the blast, along with Kumaratunga and scores of
onlookers.
  
The bomb exploded at around 10 p.m. near a barrier separating
journalists, including Pathinivasan and Priyantha, from Kumaratunga and
a car that had arrived to pick her up. At least 22 people were killed
in the assassination attempt, according to police.
Pathinivasan died instantly of shrapnel wounds. Priyantha died later at a Colombo hospital.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
56,Asfandyar Khan,Akhbar-e-Khyber,"June 11, 2011",Pakistan,Killed,Dangerous Assignment,,"

Asfandyar Khan, a reporter for the newspaper
Akhbar-e-Khyber, died in a double bombing that took the lives of more than
three dozen people. Shafiullah Khan, a trainee reporter at the daily The News,
died six days later from extensive burns and shrapnel wounds suffered in the
attack. Seven other journalists were injured.
The first, small blast went off at a market, drawing a large
crowd that included journalists covering the story, according to news reports
and local journalists. A second, larger explosion, apparently a suicide bomb,
went off after the crowd had grown.
The attack took place near the city center, in an area where
military facilities are concentrated and where many major Pakistani media
organizations have their offices. No group immediately claimed responsibility
for the bombings, and it was not clear if journalists or military personnel
were the targets. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
57,Ashok Sodhi,Daily Excelsior,"May 11, 2008",India,Killed,Dangerous Assignment,,"
Sodhi, a senior photographer with the local English-language Daily Excelsior in Indian-controlled Kashmir, was killed in crossfire in Samba, close to the border with Pakistan, according to news reports.
The BBC said suspected militants holding several hostages exchanged fire with security forces. Three militants, one soldier, and three other civilians were killed in the battle, which lasted several hours, the BBC reported.
Sodhi got his start as a print journalist before becoming a photographer, eventually rising to the position of chief photographer at his newspaper, according to an obituary posted on the citizen journalism Web site Merinews.
The violence was the worst reported in the volatile region since 2002, according to local news reports. Police said militants crossing the border from Pakistan were behind the attacks, according to the reports.
Separatist groups disputing Indian rule of Kashmir have led an often violent insurgency for nearly two decades in the quest for independence or union with Pakistan.
In July 2015, the Press Club of Jammu started an award for photojournalists in Sodhi’s honor, reports said. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
58,Asiya Jeelani,freelance,"April 20, 2004",India,Killed,Dangerous Assignment,,"
Jeelani died en route to the hospital after a van carrying an elections
monitoring team detonated an explosive device on a rural road in northern
Kashmir. 
Jeelani was a freelance journalist who contributed to local newspapers,
and a human rights activist who worked with several nongovernmental
organizations. Local sources said she was helping a local umbrella
organization, the Coalition of Civil Society, prepare an account of
its monitoring activity, and may have been reporting on the election
herself. 
The driver of the van was also killed in the blast. After the explosion,
the coalition called off its monitoring activities, citing the danger
involved.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
59,Aslam Durrani,Daily Pakistan,"April 16, 2013",Pakistan,Killed,Dangerous Assignment,,"
Durrani, 55, news editor of the Urdu-language Daily
Pakistan, was killed in a suicide bomb attack during a political rally for
the Awami National Party in the northwestern provincial capital of Peshawar,
according to news reports. His death was confirmed to CPJ by a staff member at
the Lahore offices of the paper by phone. News reports also identified him as Tariq Aslam Durrani.
News accounts reported
that more than 20 others were killed in the attack, which occurred in the densely
populated neighborhood of Yakatoot. The explosion occurred just after the
arrival of Awami National Party leaders, The Associated Press reported. Senior
police official Shafqat Malik told AFP
that the attack was a suicide bombing.
Two other journalists were injured: Ehtesham Khan, a
correspondent for Express TV, and Azhar Ali Shah, a reporter for Daily
Pakistan, both of whom were taken to a local hospital for treatment. 
The militant group Tehrik-i-Taliban Pakistan claimed
responsibility for the attack, which came less than two weeks before national
elections, according to local reports.
The group’s spokesman, Ihsanullah Ihsan, told local news media that the target
of the attack was Haroon Bilour, a lawyer running for a parliamentary seat that
had been held by his father, Bashir Bilour, who was assassinated last year by
the Taliban, the reports said. Haroon Bilour survived the attack.
Durrani was survived by his wife and four sons.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
60,Avijit Roy,Freelance,"February 26, 2015",Bangladesh,Killed,Murder,,"

On February 26, 2015, two unidentified men approached Avijit Roy and his wife, Rafida Ahmed Bonna, as they were leaving a book fair in the Dhaka University campus area, according to Bonna and witnesses, the Dhaka Tribune reported. The assailants stabbed and hacked at them with sharp weapons and fled the scene, news reports said. Roy and Bonna were taken to a local hospital, where Roy was pronounced dead, according to news reports. Bonna was critically wounded.
Roy, a naturalized U.S. citizen of Bangladeshi origin, was visiting Bangladesh to attend the book fair, news accounts said. The blogger had covered secular issues including science, homosexuality, atheism, and free expression on his blog, Mukto-Mona (Free Mind), and had published several books on those issues, news reports said. Roy, a Hindu, was critical of religious fundamentalism in his writings on Bangladesh, a predominantly Muslim country.
The blogger had reported receiving death threats from Islamists to his friends and family and to the U.K.-based human rights organization the International Humanist and Ethical Union, the organization said. The blogger’s father told journalists that Roy had received threatening messages over email and on social media from individuals who were unhappy with his writing, news reports said.
Police said they suspected Islamist radicals were involved in the murder, according to news reports. In 2013, Islamist groups called for the execution of bloggers they said had committed blasphemy, according to news reports.
The killing attracted international attention. Agents from the U.S. Federal Bureau of Investigation arrived about a week after Roy’s murder to assist local police in the investigation, according to news reports. On March 2, 2015 Bangladeshi authorities arrested Shafiur Rahman Farabi, a 29-year-old student and a Muslim blogger who had often preached radicalism, according to news reports.
On February 16, 2021, a Bangladesh court sentenced five people to death for their involvement in Roy’s killing, and another to life in prison, according to news reports.
The court sentenced Syed Mohammad Ziaul Haque, Akram Hossain, Abu Siddique Sohel, Mozammel Hossain, and Arafat Rahman to death by hanging, and Shafiur Rahman Farabi to life imprisonment, according to those reports. The six defendants were all members of the banned militant outfit Ansar al-Islam, and killed Roy for being a “secular writer,” according to those reports.
Haque and Akram are in hiding and were sentenced in absentia, while the others were in custody, according to the BBC, which stated that lawyers for the defendants planned to appeal the verdict.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
61,Ayub Khattak,Karak Times,"October 11, 2013",Pakistan,Killed,Murder,,"
Khattak, a reporter for the Karak Times in Khyber Pakhtunkhwa’s southern Karak district, was shot dead outside his home, according to news reports and the Freedom Network, a Pakistani press freedom watchdog organization. Eyewitness accounts said two unidentified assailants riding a motorcycle waited outside Khattak’s home, fired at him when he appeared, and then fled the scene, the reports said.
Khattak’s colleagues said he had recently published a story on the sale of illegal drugs and a local gang of drug peddlers, according to news reports. Khattak had worked as a journalist since 2004, and had received threats in the past after his reports exposed criminal elements in the region.
Khattak’s family said they believed Khattak had been targeted in relation to his work. The journalist’s son filed a First Information Report with the police, in which he named two individuals as drug dealers, claiming they were responsible for his father’s murder, according to the Freedom Network.
The murder came only days after Minister of Information Pervaiz Rasheed expressed his support for the appointment of a special prosecutor to investigate attacks against journalists as part of the implementation of the larger U.N. Plan of Action on the Safety of Journalists and Issue of Impunity at a meeting in Islamabad on October 8.
On March 16, 2016, a court sentenced Aminullah Niaz to life in prison and fined him 5 million Pakistani rupees (about USD$47,700) for Khattak’s murder, according to local media. Niaz’s brother, Khoob, was acquitted of being an accomplice, reports said. During the trial, the court was told Khattak’s reporting on drug dealing angered Aminullah Niaz, and that he had previously threatened the journalist.
Khattak’s family told reporters they plan to appeal the acquittal for Khoob Niaz and demand harsher sentences for both brothers.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
62,Azamat Ali Bangash,Samaa TV,"April 17, 2010",Pakistan,Killed,Dangerous Assignment,,"
Bangash, 34, a cameraman and correspondent, was killed in a suicide bombing while covering food distribution in a refugee camp near Orakzai, in the Federally Administered Tribal Areas near the border with Afghanistan. He was the second Samaa journalist killed in a suicide bombing in two days.
As many as 47 refugees from fighting in northwest Pakistan died when a pair of suicide bombers, striking minutes apart, attacked a distribution line, news reports said. The BBC and CNN said the Sunni group Lashkar-e-Jhangvi claimed responsibility for the explosions, which targeted the Shia refugees. The bombing was one of five in northwest Pakistan that took place between April 14 and April 17, 2010.
Bangash, who died at a nearby field hospital, was survived by a wife and three children.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
63,Bala Nadarajah Iyer,Thinamurasu and Thinakaran,"August 16, 2004",Sri Lanka,Killed,Murder,,"
Iyer, a journalist, writer, and political activist with the opposition
Tamil group the Eelam People’s Democratic Party (EPDP), was shot and
killed by unidentified assailants in the capital, Colombo.
Two men on a motorcycle gunned down Iyer, a veteran activist and writer,
when he left home for work in the southern Wellawatte area of the
capital on the morning of August 16, according to local police. The
EPDP’s official news Web site reported that the LTTE had threatened
Iyer before his murder. 
Iyer was a media officer and a senior member of the EPDP who worked
on the editorial board of the Tamil-language weekly Thinamurasu
and wrote a political column for the state-run Tamil daily
Thinakaran. He was known for criticizing the LTTE’s human rights
abuses and had worked closely with Tamil political groups, including
the LTTE, during the last 20 years, according to local journalists. 
Tensions between the two rival Tamil groups flared in the spring after
the EPDP supported a breakaway faction of the LTTE headed by a rebel
leader known as Colonel Karuna. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
64,Bhola Nath Masoom,Hind Samachar,"January 31, 1993",India,Killed,Murder,,"
Masoom, a stringer for Hind Samachar and president of the Punjab and Chandigarh Journalist’s Council, was shot by two suspected militants near his home in the town of Rajpura. He died the same day.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
65,Birendra Shah,"Nepal FM, Dristi Weekly, and Avenues TV","October 4, 2007",Nepal,Killed,Murder,,"
Shah was kidnapped on October 4 by members of the Communist Party of Nepal (Maoist) in central Nepal’s Bara district. Maoist leaders issued a statement on November 5, saying that Shah had been murdered by members of their party on the day of the kidnapping, according to Guna Raj Luitel, news editor of Kantipur Daily.
Maoist leaders sought to distance themselves from the slaying, which they called an anarchic act orchestrated by a district committee member, Lal Bahadur Chaudhary. Shah, local correspondent for Nepal FM, Dristi Weekly, and Avenues TV, had been critical of local Maoists in his reports.
His body was recovered by police in a forested area 100 miles (160 kilometers) south of Kathmandu on November 8, according to The Associated Press. A funeral held the next day attracted more than 3,000 mourners. Some of the crowd attempted to set fire to the house of one of the accused killers, the Voice of America reported.
On May 30, 2011, a judge in central Bara district sentenced two defendants, Mainejar Giri and Ram Ekwal Sahini, to life
terms and confiscated their property on charges of carrying out the
abduction and murder, according to local news reports. Lal Bahadur
Chaudhary had not been detained. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
66,Borhan Uddin Muzakkir,"Barta Bazar,Bangladesh Samachar","February 20, 2021",Bangladesh,Killed,Dangerous Assignment,,"
On February 19, 2021, Borhan Uddin Muzakkir, a Bangladeshi reporter for the news website Barta Bazar and the newspaper Bangladesh Samachar, was shot in the throat while covering clashes in the street between two factions of the ruling Awami League party, in the Companiganj area of southern Noakhali district, according to news reports.
Muzakkir was initially taken to the Noakhali General Hospital, before being transferred to the intensive care unit at Dhaka Medical College Hospital, where he died at about 10:45 p.m. on February 20, according to those reports.
Police and armed demonstrators opened fire during the clashes; police fired blanks and aimed at the sky to quell the protest, but also “fired 10-12 bullets to disperse the clashing groups,” according to The Daily Star. At least 50 people were injured during the demonstration, including nine who were shot, according to that report. CPJ could not determine who fired the shots that killed Muzakkir.
On February 23, Muzakkir’s father, Nurul Huda Master, filed a police murder case over the journalist’s killing, according to news reports, which said that the case did not name any assailants, and that police had opened an investigation.
CPJ emailed the Bangladeshi police for comment but did not receive any response.
Barta Bazar did not immediately reply to CPJ’s request for comment via messaging app. CPJ was unable to find contact information for Bangladesh Samachar.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
67,Chandan Tiwari,Aj Newspaper,"October 30, 2018",India,Killed,Murder,,"
Chandan Tiwari, a local reporter with Hindi daily Aj in Jharkhand’s Chatra district, was abducted and badly beaten on October 29, 2018. Police said the reporter was found injured in a forest about 175 miles from Pathalgada, in Jharkhand.  He succumbed to his injuries the next day, according to NDTV. 
Jharkhand police identified four people–Maoist area commander Prasant, Pintu Singh, Jamuna Prasad, and Musafir Rana–as suspects who abducted and killed the journalist. Police arrested Prasant, Prasad, and Rana, but Singh remained free as of December 2018. The First Information Report filed by the police–which has been reviewed by CPJ–names all four suspects. 
Local reporters told CPJ that Maoists run a criminal network in the area, and that Singh is part of this network.
According to a report in Dainik Bhaskar, police claim that Singh targeted Tiwari for alleging financial irregularities in Singh’s role as a private contractor for a government-funded program to support rural employment. On April 2, 2018, Tiwari published a story about Singh’s alleged corruption; and also posted about it on his Facebook page. Chatra police superintendent Akhilesh B. Variar told Dainik Bhaskar that Singh plotted against Tiwari because of the financial loss he incurred from Tiwari’s reporting. 
Tiwari’s editor, Amit Kumar Agrawal, told CPJ that the slain reporter had filed a complaint on April 6, 2018, with the police about a possible threat to his life. A copy of the complaint is available on Tiwari’s Facebook page. Agrawal also told NDTV that police did not act on the complaint. 
As of late 2018, police had not filed a charge sheet in the case. When reached by phone by CPJ for comment on the case, Variar asked to be contacted by email. As of late 2018, Variar had not responded to questions via email.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
68,Chennakeshavalu,EV5,"August 8, 2021",India,Killed,Murder,,"
On August 8, 2021, in the Kurnool district of the southeastern Indian state of Andhra Pradesh, two men stabbed Chennakeshavalu, a reporter with the privately owned news channel EV5, according to news reports.
Chennakeshavalu, who uses one name, died later that day of his injuries, according to those reports, which said that police have arrested the suspects, identified as a police officer, Venkata Subbaiah, and his brother, identified as Nani, for suspected murder.
Sudheer Kumar Reddy, the Kurnool district superintendent of police, was quoted in those news reports saying that the suspects invited Chennakeshavalu to speak with them about his reporting on Venkata Subbaiah’s alleged illegal gambling activities and then attacked him, stabbing him multiple times in the back with a screwdriver.
In a phone call with CPJ, Reddy confirmed the suspects’ arrests and said that Subbaiah had been dismissed from the police force.
CPJ was unable to find contact information for the suspects’ lawyers, or any public statements by the suspects.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
69,Chishti Mujahid,Akbar-e-Jehan,"February 9, 2008",Pakistan,Killed,Murder,,"

An unidentified assailant shot Mujahid, a veteran columnist
and photographer, in the head and chest as he left his house, according to the
Pakistan Federal Union of Journalists and local news reports. A spokesman for
the banned insurgent group the Baluch Liberation Army claimed responsibility
for the murder in a phone call to the Quetta Press Club, saying Mujahid was
“against” the Baluch cause, local news reports said.
Mujahid, an ethnic Punjabi, received several telephone
threats after writing about the killing of Baluch leader Balach Marri in
November 2007, according to the journalists union. Akbar-e-Jehan, published by
the Jang Media Group, was among the country’s largest Urdu-language weekly
magazines.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
70,Daniel Pearl,The Wall Street Journal,"Between January 23 and February 21, 2002",Pakistan,Killed,Murder,,"
U.S. government officials confirmed on February 21, 2002, that Pearl, kidnapped South Asia correspondent for The Wall Street Journal, had been killed by his captors.
 The exact date of his murder was uncertain, but authorities announced his death after receiving a graphic, three-and-a-half minute digital videotape containing scenes in which one of the killers slits Pearl’s throat, and then someone holds his severed head. The faces of the assailants are not visible on the video. This, and other details below, are documented in an extensive report on Pearl’s murder, entitled The Truth Left Behind: Inside the Kidnapping and Murder of Daniel Pearl, published in 2011 by The International Consortium of Investigative Journalists and The Center for Public Integrity.
 Pearl, 38, went missing on January 23, 2002, in the port city of Karachi, Pakistan, and was last seen on his way to an interview at the Village Restaurant, downtown near the Metropole Hotel. According to The Wall Street Journal, Pearl had been reporting on Richard Reid, a suspected terrorist who allegedly tried to blow up an airplane during a transatlantic flight with a bomb in his shoe.
 Four days after his disappearance, a group calling itself ""The National Movement for the Restoration of Pakistani Sovereignty"" sent an e-mail to several U.S.- and Pakistan-based news organizations claiming responsibility for kidnapping Pearl and accusing him of being an American spy. The e-mail also contained four photographs of the journalist, including one in which he is held at gunpoint and another in which he is holding a copy of the January 24 issue of Pakistan’s Dawn newspaper.
 The e-mail contained a series of demands, including the repatriation of Pakistani detainees held by the U.S. Army in Guantanamo Bay, Cuba. The sender or senders, who used a Hotmail e-mail account under the name ""Kidnapperguy,"" said Pearl was ""at present being kept in very inhuman circumstances quite similar infact [sic] to the way that Pakistanis and nationals of other sovereign countries are being kept in Cuba by the American Army.""
 Another e-mail was sent on January 30, also including photographs of Pearl held captive. This e-mail accused him of being an agent of Mossad, Israel’s spy agency, and said he would be killed within 24 hours unless the group’s demands were met.
 After scrutinizing the videotape that officials received weeks later, authorities believe that Pearl may have been murdered before the second e-mail was sent. During that footage, Pearl is forced to identify himself as Jewish and to deliver scripted lines reiterating some of the demands made in the e-mails, according to an FBI analysis of the tape that was provided to the Journal.
 On February 12, 2002, before Pearl’s murder was discovered, Pakistani police announced the arrest of Ahmed Omar Saeed Sheikh, whom they identified as the prime suspect behind the journalist’s kidnapping.
 On March 14, a U.S. grand jury indicted Saeed, charging him with hostage-taking and conspiracy to commit hostage-taking resulting in Pearl’s murder. U.S. prosecutors also unsealed a secret indictment filed against Saeed in November 2001 accusing him of participating in the 1994 kidnapping of U.S. tourist Bela Nuss in India. Pakistan refused to extradite Saeed, possibly to avoid damaging disclosures of links between the country’s intelligence agencies and militant Islamist groups that the United States wants to see eliminated.
 In April, Saeed and three accomplices–Salman Saqib, Fahad Naseem, and Shaikh Adil–were charged with Pearl’s kidnapping and murder before Pakistan’s special anti-terrorism court. The trial, initially convened at Karachi’s Central Jail and later moved to a heavily guarded prison in Hyderabad due to security concerns, was closed to journalists and the public.
 In mid-May, as the trial was under way, police found a dismembered body believed to be Pearl’s buried in the outskirts of Karachi on property owned by the Al-Rashid Trust, an Islamic charity that the United States has accused of funneling money to al-Qaeda. Police were reportedly led to the shallow grave by Fazal Karim, a member of the banned militant Sunni Muslim group Lashkar-e-Jhangvi. At year’s end, Karim had not been charged, and though it has been widely reported that he was detained, authorities have never officially acknowledged his arrest.
 On July 15, 2002, the anti-terrorism court announced that Saeed and his accomplices were guilty of Pearl’s kidnapping and murder. Saeed, who was accused of masterminding the crime, was sentenced to death by hanging; Saqib, Naseem, and Adil each received 25-year prison sentences. They appealed the ruling.
 Shortly after the ruling, U.S. officials announced DNA test results confirming that the body found in May was indeed Pearl’s.
In mid-August, 2002, The Associated Press (AP) published a detailed account of Pearl’s kidnapping, citing two investigators who spoke on condition of anonymity. The officials said that, according to Karim (who had led police to the journalist’s body in May) and two others held in unofficial custody, Pearl was shot and wounded on the sixth day of his capture when he tried to escape and was murdered on the ninth day. The AP identified the two other detainees as Zubair Chishti and Naeem Bukhari, who is also known as Attaur Rehman and is a leader of the sectarian group Lashkar-e-Jhangvi. The men also said that three Arabs, possibly from Yemen, were brought to the hideout on the ninth day, and that they were involved in filming and carrying out the execution.
 Karim later identified one of the Yemenis among those arrested in a September 11, 2002, raid in Karachi, during which U.S. and Pakistani authorities detained several suspected al-Qaeda members, including Ramzi Binalshibh, allegedly a senior al-Qaeda leader who has claimed a central role in coordinating the September 11 attacks.

In 2007, Khalid Sheikh Mohammed, suspected of masterminding the 9/11 attacks in the U.S., was reported to have confessed to a U.S. military tribunal in Guantanamo Bay, Cuba, to personally having slit Pearl’s throat, according to news reports. A trial date for Mohammed’s role in the 9/11 attack has been set for January 11, 2021, although it’s not certain if the trial will proceed, according to news reports.



 A former U.S. intelligence officer, Robert Baer, told the United Press International (UPI) news agency in 2002 that he had given Pearl information about Mohammed, and that he believes it was the journalist’s investigations of Mohammed that may have cost him his life. Baer, who worked for the Central Intelligence Agency for more than 20 years in Asia and the Middle East and wrote the book See No Evil, which criticizes the CIA, told UPI, ""I have heard from [intelligence] people who follow this closely that it was people close to Mohammed that killed him, if it wasn’t Mohammed himself.""
 UPI quoted a Wall Street Journal spokesperson as saying that, ""Everything we know from before and after Danny’s murder indicates his reporting effort focused on [alleged shoe bomber] Richard Reid.""
On April 2, 2020, the Sindh High Court overturned the murder convictions of the four men accused in Pearl’s killing, according to news reports. The decision found Ahmed Omar Saeed Sheikh, who had previously been sentenced to death, guilty only of kidnapping Pearl and reduced his sentence to seven years, which he has already served. The Pearl family and the Sindh provincial government appealed, and the four men remained imprisoned as of October 2020, awaiting further action by the Supreme Court, according to news reports.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
71,Dekendra Raj Thapa,Radio Nepal,"August 11, 2004",Nepal,Killed,Murder,,"

In August 2004, rebels in midwestern Nepal’s Dailekh District claimed to have killed Dekendra Raj Thapa, a journalist for state-run Radio Nepal and head of a local drinking water project. Local sources told CPJ that Thapa’s killing was connected to his work as a journalist.
After the slaying, local rebel commanders told Thapa’s family that they intended to kill 10 other journalists in neighboring districts, according to local news reports.
Members of the Communist Party of Nepal (Maoist) abducted Thapa on June 26, and a rebel commander said on August 16 that they had executed him on August 11, according to local news reports.
Maoist rebels posted leaflets in Thapa’s hometown in Dailekh on August 17 “charging” him with 10 counts of crimes against what the rebels refer to as their “people’s regime.” Among other accusations, the rebels accused Thapa of spying for state security forces while using his profession as a cover.
Thapa belonged to the Federation of Nepalese Journalists (FNJ) and was an adviser to the local branch of Human Rights and Peace Society, a Nepalese human rights group. A delegation from FNJ met with Maoists in Dailekh to make appeals on Thapa’s behalf before the rebels said they killed him.
Journalists took to the streets of the capital, Kathmandu, on August 18 to protest Thapa’s killing, according to local news reports. Local journalists said that his killing and the subsequent death threats were intended to silence the press in the Maoist-controlled midwestern districts of Nepal.
In a rare response to journalists’ outrage, Maoist spokesman Krishna Bahadur Mahara wrote a letter to FNJ in September in which he called the murder a breach of policy, promised to investigate the killing and to respect press freedom, and stated that the party had conducted “self-criticism” on the matter.
In January 2013, police arrested five suspects in connection with the killing. In December 2014, a local court convicted them all and sentenced them to two years in prison for the abduction and murder, Agence France-Presse reported. Rights activists and the family slammed the sentence as too lenient; four other former Maoists accused in the murder case were on the run, the report said.
On December 15, 2020, police arrested Hari Lal Pun, a Maoist, according to the local press freedom organization Freedom Forum. Pun had previously been arrested and convicted for his involvement in the killing, but he had fled before completing the last four months of his term, according to that report.
In March 2020, police arrested Bam Bahadur Khadka, one of the four who was on the run at the time of the 2013 sentencing, according to the Freedom Forum.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
